year,engine size,automatic transmission,mileage,fuel type,tax,mpg,price
2014,1.0,no,61170.0,petrol,30.0,58.9,4850.0
2011,1.6,no,77543.0,diesel,20.0,67.3,4899.0
2013,1.3,no,72913.0,petrol,30.0,54.3,4950.0
2013,1.6,no,67741.0,petrol,160.0,44.8,4979.0
2013,1.0,no,64763.0,petrol,20.0,60.1,4980.0
2016,1.0,no,71011.0,petrol,20.0,62.8,4991.0
2014,1.6,no,115000.0,diesel,20.0,67.3,4991.0
2009,1.4,yes,39000.0,petrol,200.0,43.4,4995.0
2011,1.6,no,69000.0,petrol,150.0,47.1,4995.0
2011,1.6,no,70000.0,petrol,145.0,47.9,4995.0
2008,2.0,no,65000.0,diesel,195.0,48.0,4995.0
2014,1.4,no,58837.0,petrol,125.0,51.4,4995.0
2014,1.2,no,28221.0,petrol,30.0,55.4,4995.0
2012,1.4,no,46000.0,diesel,125.0,57.6,4995.0
2015,1.0,no,23198.0,petrol,20.0,62.8,4995.0
2014,1.0,no,44000.0,petrol,0.0,65.7,4995.0
2014,1.0,no,31592.0,petrol,20.0,60.1,4998.0
2016,1.0,no,35321.0,petrol,20.0,62.8,4998.0
2014,1.0,no,30100.0,petrol,0.0,68.9,4999.0
2014,1.0,no,43482.0,petrol,20.0,60.1,5000.0
2013,1.0,no,76151.0,petrol,0.0,65.7,5130.0
2008,2.0,yes,61000.0,petrol,330.0,31.4,5195.0
2013,1.2,no,55000.0,petrol,125.0,51.4,5195.0
2013,1.2,no,76450.0,diesel,20.0,72.4,5195.0
2013,1.2,no,62214.0,petrol,30.0,54.3,5250.0
2014,1.0,no,38073.0,petrol,20.0,60.1,5289.0
2016,1.0,no,23340.0,petrol,20.0,60.1,5290.0
2015,1.0,no,35920.0,petrol,0.0,69.0,5290.0
2013,1.6,no,58047.0,petrol,205.0,42.2,5291.0
2009,1.6,no,63899.0,petrol,200.0,40.9,5295.0
2009,2.1,yes,112000.0,diesel,200.0,46.3,5295.0
2014,2.0,yes,76332.0,diesel,160.0,50.4,5299.0
2016,1.0,no,46736.0,petrol,0.0,65.7,5299.0
2013,1.2,no,17427.0,petrol,30.0,57.7,5300.0
2016,1.0,no,52699.0,petrol,20.0,62.8,5340.0
2013,1.6,no,65824.0,petrol,150.0,47.9,5391.0
2014,1.0,no,29000.0,petrol,0.0,69.0,5395.0
2014,1.4,no,64814.0,petrol,125.0,51.4,5444.0
2015,1.0,no,58025.0,petrol,0.0,69.0,5447.0
2011,1.6,no,79000.0,petrol,205.0,41.5,5475.0
2011,1.6,no,73780.0,petrol,200.0,40.9,5485.0
2014,1.8,no,77000.0,petrol,200.0,40.4,5488.0
2013,1.2,no,36180.0,petrol,125.0,51.4,5490.0
2017,1.0,no,10515.0,petrol,20.0,62.8,5490.0
2013,1.6,no,65815.0,diesel,20.0,67.3,5490.0
2014,1.6,no,131347.0,diesel,0.0,74.3,5490.0
2016,1.6,no,126000.0,diesel,0.0,83.1,5493.0
2008,2.0,yes,82000.0,petrol,260.0,36.7,5495.0
2015,1.4,no,52000.0,petrol,125.0,54.3,5495.0
2014,1.0,no,39472.0,petrol,20.0,60.1,5498.0
2012,1.6,no,59000.0,petrol,145.0,47.9,5499.0
2012,1.4,no,64068.0,diesel,125.0,51.4,5500.0
2013,1.0,no,44734.0,petrol,20.0,62.8,5500.0
2014,1.0,no,22672.0,petrol,0.0,65.7,5515.0
2013,2.0,no,69904.0,diesel,30.0,62.8,5555.0
2014,1.4,no,48979.0,petrol,125.0,51.4,5590.0
2016,1.0,no,28789.0,petrol,20.0,60.1,5641.0
2011,1.8,no,75000.0,petrol,200.0,42.2,5695.0
2016,1.0,no,30728.0,petrol,20.0,62.8,5695.0
2015,1.0,no,42761.0,petrol,0.0,69.0,5695.0
2016,1.4,no,55867.0,petrol,30.0,55.4,5698.0
2013,1.2,no,37168.0,petrol,30.0,54.3,5699.0
2013,2.0,no,76563.0,diesel,125.0,57.7,5699.0
2017,1.0,no,21114.0,petrol,145.0,69.0,5699.0
2013,1.2,no,34279.0,petrol,125.0,51.4,5700.0
2017,1.0,no,19352.0,petrol,20.0,62.8,5700.0
2016,1.0,no,59486.0,petrol,20.0,62.8,5700.0
2014,1.2,no,23026.0,petrol,30.0,57.6,5702.0
2014,1.6,no,74754.0,diesel,20.0,67.3,5710.0
2016,1.0,no,28708.0,petrol,20.0,62.8,5720.0
2013,1.3,no,39675.0,petrol,125.0,51.4,5750.0
2015,1.0,no,23991.0,petrol,20.0,62.8,5750.0
2017,1.0,no,34272.0,petrol,150.0,62.8,5750.0
2014,1.0,no,32000.0,petrol,0.0,69.0,5750.0
2015,1.0,no,18619.0,petrol,0.0,69.0,5772.0
2011,2.0,no,86863.0,diesel,30.0,61.4,5782.0
2014,1.6,no,52587.0,diesel,0.0,85.6,5788.0
2015,1.4,no,28873.0,petrol,125.0,51.4,5789.0
2015,1.0,no,15070.0,petrol,20.0,62.8,5790.0
2013,1.3,no,45000.0,petrol,125.0,51.4,5791.0
2007,3.0,yes,83350.0,petrol,325.0,31.4,5795.0
2008,2.0,yes,91000.0,petrol,280.0,36.2,5795.0
2014,1.3,no,39000.0,petrol,30.0,58.0,5795.0
2011,1.3,yes,50157.0,petrol,30.0,54.3,5799.0
2014,1.2,no,31821.0,petrol,125.0,51.4,5800.0
2013,1.2,no,32179.0,petrol,30.0,54.3,5830.0
2017,1.0,no,27252.0,petrol,20.0,64.2,5830.0
2013,1.0,no,60088.0,petrol,0.0,65.7,5840.0
2014,1.2,no,18078.0,petrol,125.0,51.4,5899.0
